GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13029980000,13029980000,"Census Tract 9800, Bryan County, Georgia",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US13031110100,13031110100,"Census Tract 1101, Bulloch County, Georgia",752,156,-,**,-,**,393,231,793,168,-,**,-,**
1400000US13031110200,13031110200,"Census Tract 1102, Bulloch County, Georgia",794,83,-,**,567,53,629,198,873,63,-,**,-,**
1400000US13031110300,13031110300,"Census Tract 1103, Bulloch County, Georgia",926,112,-,**,-,**,728,100,1062,97,-,**,-,**
1400000US13031110401,13031110401,"Census Tract 1104.01, Bulloch County, Georgia",756,95,-,**,681,181,715,244,938,94,1089,470,-,**
1400000US13031110403,13031110403,"Census Tract 1104.03, Bulloch County, Georgia",742,65,-,**,753,137,677,22,980,594,1207,151,-,**
1400000US13031110404,13031110404,"Census Tract 1104.04, Bulloch County, Georgia",676,130,-,**,529,7,659,72,594,154,934,98,-,**
1400000US13031110500,13031110500,"Census Tract 1105, Bulloch County, Georgia",945,52,-,**,600,120,797,117,1057,77,1269,203,2136,1072
1400000US13031110601,13031110601,"Census Tract 1106.01, Bulloch County, Georgia",783,69,-,**,525,59,765,65,989,192,1368,420,-,**
1400000US13031110602,13031110602,"Census Tract 1106.02, Bulloch County, Georgia",663,97,-,**,-,**,691,51,588,232,-,**,-,**
1400000US13031110700,13031110700,"Census Tract 1107, Bulloch County, Georgia",810,93,-,**,709,473,582,203,885,102,1651,364,-,**
1400000US13031110800,13031110800,"Census Tract 1108, Bulloch County, Georgia",720,30,-,**,-,**,575,203,736,372,1101,55,-,**
1400000US13031110900,13031110900,"Census Tract 1109, Bulloch County, Georgia",812,162,-,**,-,**,436,118,832,132,-,**,-,**
1400000US13033950100,13033950100,"Census Tract 9501, Burke County, Georgia",663,348,-,**,-,**,-,**,840,60,-,**,-,**
1400000US13033950200,13033950200,"Census Tract 9502, Burke County, Georgia",708,216,-,**,-,**,716,293,642,248,-,**,-,**
1400000US13033950400,13033950400,"Census Tract 9504, Burke County, Georgia",548,77,-,**,322,148,387,241,732,72,453,284,-,**
1400000US13033950500,13033950500,"Census Tract 9505, Burke County, Georgia",607,174,-,**,298,62,715,201,638,350,-,**,-,**
